dji_epoch,dji_datetime,dji_lat,dji_long,dji_alt,dji_pitch,dji_roll,dji_compass_rounded,dji_deviation,location,match_error,hover_label,tide
1730677158,2024-11-03T23:39:18Z,-23.4463543,151.918146,5.33,-0.08,4.11,0,-0.0100000000000023,lagoon,6.04069532170319e-06,5,High
1730677159,2024-11-03T23:39:19Z,-23.4463525555556,151.918147,5.36666666666667,-0.2,3.2,0,0,lagoon,7.51130834464777e-06,5,High
1730677160,2024-11-03T23:39:20Z,-23.4463522,151.918146,5.39,-0.65,3.62,0,0,lagoon,8.05232885324399e-06,5,High
1730677161,2024-11-03T23:39:21Z,-23.4463524,151.9181462,5.4,-0.11,3.47,0,0,lagoon,7.81024967747598e-06,5,High
1730677162,2024-11-03T23:39:22Z,-23.4463532,151.9181465,5.4,-0.14,3.53,0,0,lagoon,6.9634761438808e-06,5,High
1730677163,2024-11-03T23:39:23Z,-23.4463546,151.918146,5.37,-1.02,3.36,0,0,lagoon,5.75847201701003e-06,5,High
1730677164,2024-11-03T23:39:24Z,-23.4463553333333,151.918146,5.37777777777778,-0.633333333333333,3.3,0,0,lagoon,5.07718206755366e-06,5,High
1730677165,2024-11-03T23:39:25Z,-23.4463566,151.918146,5.4,-1.41,3.42,0,0.01,lagoon,3.94461657960353e-06,5,High
1730677166,2024-11-03T23:39:26Z,-23.4463567777778,151.918146666667,5.4,-0.966666666666667,3.21111111111111,0,-0.0444444444444545,lagoon,3.48718996029442e-06,5,High
1730677167,2024-11-03T23:39:27Z,-23.446356,151.918147,5.4,0.09,2.79,0,0,lagoon,4.1231056221011e-06,5,High
1730677168,2024-11-03T23:39:28Z,-23.4463570909091,151.918147,5.35454545454545,-0.290909090909091,2.91818181818182,0,-0.00909090909091116,lagoon,3.07616805696173e-06,5,High
1730677169,2024-11-03T23:39:29Z,-23.4463585,151.918147,5.3875,-1.4,2.925,0,0,lagoon,1.80277563318042e-06,5,High
1730677170,2024-11-03T23:39:30Z,-23.446359,151.918147,5.42,-0.73,3.11,0,-0.0100000000000023,lagoon,1.41421355880255e-06,5,High
1730677171,2024-11-03T23:39:31Z,-23.446359,151.918146888889,5.4,-0.433333333333333,2.71111111111111,0,0,lagoon,1.49484711960929e-06,5,High
1730677172,2024-11-03T23:39:32Z,-23.4463592,151.918146,5.5,-0.45,4.02,0,0,lagoon,2.1540659176792e-06,5,High
1730677177,2024-11-03T23:39:37Z,-23.4463601,151.9181482,10.14,0.2,2.36,0,-0.0200000000000045,lagoon,2.23606787652495e-07,10,High
1730677178,2024-11-03T23:39:38Z,-23.44636,151.9181469,10.11,-0.37,3.94,0,-0.0500000000000114,lagoon,1.09999999153843e-06,10,High
1730677179,2024-11-03T23:39:39Z,-23.4463607777778,151.918146,10,-0.488888888888889,3.75555555555556,0,-0.0888888888889091,lagoon,2.14591198608809e-06,10,High
1730677180,2024-11-03T23:39:40Z,-23.446361,151.9181465,10.05,-1.41,4.49,0,-0.130000000000013,lagoon,1.80277563515111e-06,10,High
1730677181,2024-11-03T23:39:41Z,-23.4463607777778,151.918147888889,10.1,-0.622222222222222,3.25555555555556,0,-0.0444444444444482,lagoon,7.85674203019233e-07,10,High
1730677182,2024-11-03T23:39:42Z,-23.446361,151.918148,10.1,-0.37,3.3,0,-0.0800000000000182,lagoon,1.00000000102796e-06,10,High
1730677183,2024-11-03T23:39:43Z,-23.446361,151.918148,10.16,-0.81,3.63,0,-0.0800000000000182,lagoon,1.00000000102796e-06,10,High
1730677184,2024-11-03T23:39:44Z,-23.4463613333333,151.918148,10.1444444444444,-0.455555555555556,3.85555555555556,0,-0.0666666666666818,lagoon,1.3333333335197e-06,10,High
1730677185,2024-11-03T23:39:45Z,-23.446362,151.918148,10.1555555555556,-1.38888888888889,4.03333333333333,0,-0.133333333333345,lagoon,2.00000000205591e-06,10,High
1730677186,2024-11-03T23:39:46Z,-23.446362,151.918148,10.2777777777778,-1.11111111111111,3.81111111111111,0,-0.11111111111113,lagoon,2.00000000205591e-06,10,High
1730677187,2024-11-03T23:39:47Z,-23.446362,151.918148,10.3,-0.544444444444444,3.62222222222222,0,-0.0888888888889091,lagoon,2.00000000205591e-06,10,High
1730677188,2024-11-03T23:39:48Z,-23.446362,151.918148,10.2181818181818,-1.01818181818182,4.20909090909091,0,-0.109090909090929,lagoon,2.00000000205591e-06,10,High
1730677189,2024-11-03T23:39:49Z,-23.446362,151.9181486,10.2,-0.72,3.99,0,-0.0900000000000205,lagoon,2.08806130168264e-06,10,High
1730677190,2024-11-03T23:39:50Z,-23.4463623333333,151.91815,10.1444444444444,-0.966666666666667,2.9,0,-0.0444444444444545,lagoon,3.0731814834001e-06,10,High
1730677191,2024-11-03T23:39:51Z,-23.4463625,151.918149,10.15,-1.37,2.77,0,-0.0900000000000091,lagoon,2.69258240336636e-06,10,High
1730677196,2024-11-03T23:39:56Z,-23.446359,151.918148111111,15.1111111111111,-0.733333333333333,4.17777777777778,0,-0.0666666666666818,lagoon,1.00615390274341e-06,15,High
1730677197,2024-11-03T23:39:57Z,-23.446359,151.918148,15.2,-1.36,3.55,0,-0.0800000000000182,lagoon,9.99999997475243e-07,15,High
1730677198,2024-11-03T23:39:58Z,-23.4463589,151.918148,15.17,-1.39,3.44,0,-0.0400000000000091,lagoon,1.09999999864385e-06,15,High
1730677199,2024-11-03T23:39:59Z,-23.446358,151.918148333333,15.2,-0.4,3.3,0,-0.0333333333333346,lagoon,2.02758750848462e-06,15,High
1730677200,2024-11-03T23:40:00Z,-23.4463584,151.918149,15.27,-0.15,3.34,0,-0.0300000000000068,lagoon,1.8867962228527e-06,15,High
1730677201,2024-11-03T23:40:01Z,-23.44636,151.9181482,15.15,-1.63,3.43,0,-0.0700000000000102,lagoon,1.99999988126365e-07,15,High
1730677202,2024-11-03T23:40:02Z,-23.4463605,151.9181471,15.14,-1.64,3.86,0,-0.110000000000019,lagoon,1.02956301646831e-06,15,High
1730677203,2024-11-03T23:40:03Z,-23.4463591111111,151.918146888889,15.2222222222222,-0.433333333333333,3.6,0,-0.0555555555555682,lagoon,1.42291650175244e-06,15,High
1730677204,2024-11-03T23:40:04Z,-23.446359,151.918146,15.2,-0.311111111111111,3.68888888888889,0,-0.0444444444444545,lagoon,2.23606797185426e-06,15,High
1730677205,2024-11-03T23:40:05Z,-23.4463595555556,151.918145333333,15.2777777777778,-1.54444444444444,4.04444444444444,0,-0.133333333333338,lagoon,2.70345000644563e-06,15,High
1730677206,2024-11-03T23:40:06Z,-23.446359,151.918145,15.2,-0.411111111111111,3.87777777777778,0,-0.0444444444444545,lagoon,3.1622776521844e-06,15,High
1730677207,2024-11-03T23:40:07Z,-23.446359,151.9181447,15.12,-0.79,3.52,0,-0.0500000000000114,lagoon,3.4481879320876e-06,15,High
1730677208,2024-11-03T23:40:08Z,-23.4463594,151.9181438,15.1,-1.54,3.79,0,-0.0700000000000159,lagoon,4.24264069349025e-06,15,High
1730677209,2024-11-03T23:40:09Z,-23.4463586666667,151.918143222222,15.0555555555556,-0.811111111111111,4.91111111111111,0,-0.0777777777777955,lagoon,4.96033650450152e-06,15,High
1730677210,2024-11-03T23:40:10Z,-23.4463585454545,151.918144545455,15.2,0.190909090909091,4.21818181818182,0,0.00909090909090496,lagoon,3.74827782260719e-06,15,High
1730677215,2024-11-03T23:40:15Z,-23.4463587,151.9181467,20.28,-1.23,4.69,0,-0.0900000000000205,lagoon,1.83847763498462e-06,20,High
1730677216,2024-11-03T23:40:16Z,-23.446359,151.9181455,20.23,-0.69,4.46,0,-0.0500000000000114,lagoon,2.69258239676914e-06,20,High
