dji_epoch,dji_datetime,dji_lat,dji_long,dji_alt,dji_pitch,dji_roll,dji_compass_rounded,dji_deviation,location,match_error,hover_label,tide
1730703054,2024-11-04T06:50:54Z,-23.446355,151.918144222222,5.32222222222222,-2.05555555555556,3.05555555555556,0,-0.0666666666666818,lagoon,6.26670606603909e-06,5,Low
1730703055,2024-11-04T06:50:55Z,-23.4463532,151.9181423,5.45,-1.76,3.52,0,-0.0900000000000205,lagoon,8.87299273346395e-06,5,Low
1730703056,2024-11-04T06:50:56Z,-23.4463532222222,151.918141,5.5,-2.06666666666667,3.74444444444444,0,-0.0777777777777955,lagoon,9.74362723774838e-06,5,Low
1730703057,2024-11-04T06:50:57Z,-23.4463547,151.91814,5.37,-2.54,3.52,0,-0.110000000000019,lagoon,9.59635347985085e-06,5,Low
1730703058,2024-11-04T06:50:58Z,-23.4463565,151.9181405,5.37,-3.59,3.15,0,-0.110000000000019,lagoon,8.2764726864874e-06,5,Low
1730703059,2024-11-04T06:50:59Z,-23.4463575555556,151.918141888889,5.4,-2.9,2.58888888888889,0,-0.0888888888889091,lagoon,6.58186811837549e-06,5,Low
1730703060,2024-11-04T06:51:00Z,-23.446358,151.9181429,5.4,-2.28,2.28,0,-0.100000000000023,lagoon,5.4781383785549e-06,5,Low
1730703061,2024-11-04T06:51:01Z,-23.4463589,151.918143,5.4,-2.92,2.87,0,-0.0700000000000159,lagoon,5.11957030960565e-06,5,Low
1730703062,2024-11-04T06:51:02Z,-23.4463599,151.9181441,5.4,-2.66,2.01,0,-0.0600000000000136,lagoon,3.90128183649534e-06,5,Low
1730703063,2024-11-04T06:51:03Z,-23.44636,151.918144333333,5.5,-2.24444444444444,2.57777777777778,0,-0.0222222222222273,lagoon,3.66666665740922e-06,5,Low
1730703064,2024-11-04T06:51:04Z,-23.44636,151.918144,5.56,-2.54,3.11,0,-0.0900000000000205,lagoon,3.99999998990097e-06,5,Low
1730703065,2024-11-04T06:51:05Z,-23.4463604,151.9181447,5.55,-2.24,2.23,0,-0.0600000000000136,lagoon,3.32415403086883e-06,5,Low
1730703066,2024-11-04T06:51:06Z,-23.4463613,151.9181446,5.45,-2.2,2.15,0,-0.0900000000000205,lagoon,3.64005494228204e-06,5,Low
1730703067,2024-11-04T06:51:07Z,-23.4463622,151.9181435,5.4,-3.33,2.99,0,-0.100000000000023,lagoon,5.00899193024311e-06,5,Low
1730703068,2024-11-04T06:51:08Z,-23.4463626,151.918144,5.42,-4.14,3.47,0,-0.0700000000000159,lagoon,4.7707441693525e-06,5,Low
1730703073,2024-11-04T06:51:13Z,-23.446361,151.9181484,10.08,-2.87,2.44,0,0,lagoon,1.07703296411738e-06,10,Low
1730703074,2024-11-04T06:51:14Z,-23.446362,151.918148,10.1,-2.67777777777778,2.63333333333333,0,0,lagoon,2.00000000205591e-06,10,Low
1730703075,2024-11-04T06:51:15Z,-23.446362,151.9181472,10.1,-2.47,2.72,0,0,lagoon,2.15406592823475e-06,10,Low
1730703076,2024-11-04T06:51:16Z,-23.446362,151.9181479,10.09,-2.39,2.75,0,0,lagoon,2.00249844120696e-06,10,Low
1730703077,2024-11-04T06:51:17Z,-23.446362,151.918148,10,-2.5,2.68,0,0,lagoon,2.00000000205591e-06,10,Low
1730703078,2024-11-04T06:51:18Z,-23.4463618,151.918148,10,-2.29,2.69,0,0,lagoon,1.80000000327141e-06,10,Low
1730703079,2024-11-04T06:51:19Z,-23.4463616,151.918149,10,-2.56,1.94,0,0,lagoon,1.88679622586539e-06,10,Low
1730703080,2024-11-04T06:51:20Z,-23.446361,151.9181482,10,-2.01,2.19,0,0,lagoon,1.01980390139794e-06,10,Low
1730703081,2024-11-04T06:51:21Z,-23.4463613333333,151.918147,9.95555555555556,-2.9,3.08888888888889,0,0,lagoon,1.66666666530091e-06,10,Low
1730703082,2024-11-04T06:51:22Z,-23.446361,151.918147,10,-1.68181818181818,2.66363636363636,0,0,lagoon,1.4142135613147e-06,10,Low
1730703083,2024-11-04T06:51:23Z,-23.4463616,151.918147,10,-2.54,2.56,0,0,lagoon,1.88679622586539e-06,10,Low
1730703084,2024-11-04T06:51:24Z,-23.446362,151.9181478,9.92,-2.4,2.12,0,0,lagoon,2.00997512508842e-06,10,Low
1730703085,2024-11-04T06:51:25Z,-23.446362,151.918148727273,9.9,-2.59090909090909,2.03636363636364,0,0,lagoon,2.12812725603312e-06,10,Low
1730703086,2024-11-04T06:51:26Z,-23.4463611111111,151.918148666667,9.88888888888889,-2.3,2.12222222222222,0,0,lagoon,1.29576708650285e-06,10,Low
1730703087,2024-11-04T06:51:27Z,-23.4463605555556,151.918148,10.0666666666667,-1.7,2.27777777777778,0,0.0777777777777778,lagoon,5.55555555337151e-07,10,Low
