time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(meters),height_above_ground_at_drone_location(meters),ground_elevation_at_drone_location(meters),altitude_above_seaLevel(meters),height_sonar(meters),speed(m/s),distance(meters),mileage(meters),satellites,gpslevel,voltage(v),max_altitude(meters),max_ascent(meters),max_speed(m/s),max_distance(meters), xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(c),altitude(meters),ascent(meters),flycStateRaw,flycState,message
0,2024-11-04 00:15:31,-23.4437982128984,151.917285438099,0,Available with any HD 360 subscription,Available with any HD 360 subscription,3.7370832,0,0,0,0,13,4,0,3.7370832,0,0,0,0,0,0,80.7, 2.2, 0.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.333,4.335,4.335,4.338,4.341,4.337,0,,3.7370832,0,41,Motors_Started,
100,2024-11-04 00:15:31,-23.4437982152393,151.917285442144,0,,,3.7370832,0,0,0.000487915,0.000487915,13,4,0,3.7370832,0,0,0.000487915,0,0,0,80.8, 2.2, 0.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.333,4.335,4.335,4.338,4.341,4.337,0,,3.7370832,0,41,Motors_Started,
200,2024-11-04 00:15:31,-23.443798218313,151.917285443657,0,,,3.7370832,0,0,0.000827072,0.000862953,13,4,0,3.7370832,0,0,0.000827072,0,0,0,80.8, 2.2, 0.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.333,4.335,4.335,4.338,4.341,4.337,0,,3.7370832,0,41,Motors_Started,
300,2024-11-04 00:15:31,-23.4437982199939,151.917285444637,0,,,3.7370832,0,0,0.00103325,0.00107499,13,4,0,3.7370832,0,0,0.00103325,0,0,0,80.8, 2.2, 0.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.333,4.335,4.335,4.338,4.341,4.337,0,,3.7370832,0,41,Motors_Started,
400,2024-11-04 00:15:31,-23.4437982214498,151.917285442963,0,,,3.7370832,0,0,0.00107265,0.00131035,13,4,0,3.7370832,0,0,0.00107265,0,0,0,80.8, 2.2, 0.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.333,4.335,4.335,4.338,4.341,4.337,0,,3.7370832,0,41,Motors_Started,
500,2024-11-04 00:15:31,-23.4437982223344,151.917285441981,0,,,3.7370832,0,0,0.00112159,0.00145078,13,4,0,3.7370832,0,0,0.00112159,0,0,0,80.8, 2.2, 0.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.333,4.335,4.335,4.338,4.341,4.337,0,,3.7370832,0,41,Motors_Started,
700,2024-11-04 00:15:31,-23.4437982215975,151.917285438223,0,,,3.7370832,0,0,0.000967481,0.00184281,13,4,0,3.7370832,0,0,0.00112159,0,0,0,80.9, 2.2, 0.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.333,4.335,4.335,4.338,4.341,4.337,0,,3.7370832,0,41,Motors_Started,
800,2024-11-04 00:15:32,-23.4437982198738,151.917285435644,0,,,3.7370832,0,0,0.000815147,0.00216835,13,4,0,3.7370832,0,0,0.00112159,0,0,0,80.9, 2.2, 0.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.333,4.335,4.335,4.338,4.341,4.337,0,,3.7370832,0,41,Motors_Started,
1000,2024-11-04 00:15:32,-23.4437982167423,151.917285430754,0,,,3.7370832,0,0,0.000862723,0.00277678,13,4,0,3.7370832,0,0,0.00112159,0,0,0,80.9, 2.2, 0.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.333,4.335,4.335,4.338,4.341,4.337,0,,3.7370832,0,41,Motors_Started,
1100,2024-11-04 00:15:32,-23.4437982151896,151.917285428299,0,,,3.7370832,0,0,0.00103185,0.00308104,13,4,0,3.7370832,0,0,0.00112159,0,0,0,80.9, 2.2, 0.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.333,4.335,4.335,4.338,4.341,4.337,0,,3.7370832,0,41,Motors_Started,
