time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(meters),height_above_ground_at_drone_location(meters),ground_elevation_at_drone_location(meters),altitude_above_seaLevel(meters),height_sonar(meters),speed(m/s),distance(meters),mileage(meters),satellites,gpslevel,voltage(v),max_altitude(meters),max_ascent(meters),max_speed(m/s),max_distance(meters), xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(c),altitude(meters),ascent(meters),flycStateRaw,flycState,message
0,2024-11-03 23:57:00,-23.4438132236508,151.91728553244,0,Available with any HD 360 subscription,Available with any HD 360 subscription,3.6686697,0,0,0,0,14,5,0,3.6686697,0,0,0,0,0,0,81.1, 0.5, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.326,4.331,4.329,4.332,4.335,4.331,0,,3.6686697,0,41,Motors_Started,"Setting new Return-To-Home altitude to 40m (131 ft). Data Recorder File Index is 360. Setting new Maximum Flight Altitude to 120m (394 ft)"
100,2024-11-03 23:57:00,-23.4438132216674,151.91728550384,0,,,3.6686697,0,0,0.00292621,0.00292621,14,5,0,3.6686697,0,0,0.00292621,0,0,0,81.1, 0.5, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.326,4.331,4.329,4.332,4.335,4.331,0,,3.6686697,0,41,Motors_Started,
300,2024-11-03 23:57:00,-23.443813276734,151.917285452089,0,,,3.6686697,0,0,0.0101021,0.0110119,14,5,0,3.6686697,0,0,0.0101021,0,0,0,81.1, 0.5, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.326,4.331,4.329,4.332,4.335,4.331,0,,3.6686697,0,41,Motors_Started,
400,2024-11-03 23:57:00,-23.4438133045824,151.917285436046,0,,,3.6686697,0,0,0.0133313,0.0145148,14,5,0,3.6686697,0,0,0.0133313,0,0,0,81.1, 0.6, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.326,4.331,4.329,4.332,4.335,4.331,0,,3.6686697,0,41,Motors_Started,
500,2024-11-03 23:57:01,-23.4438133215087,151.917285425809,0,,,3.6686697,0,0,0.0153877,0.0166674,14,5,0,3.6686697,0,0,0.0153877,0,0,0,81.1, 0.5, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.326,4.331,4.329,4.332,4.335,4.331,0,,3.6686697,0,41,Motors_Started,
600,2024-11-03 23:57:01,-23.443813333093,151.917285421064,0,,,3.6686697,0,0,0.0166508,0.0180436,14,5,0,3.6686697,0,0,0.0166508,0,0,0,81.2, 0.6, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.326,4.331,4.329,4.332,4.335,4.331,0,,3.6686697,0,41,Motors_Started,
700,2024-11-03 23:57:01,-23.4438133422052,151.917285415961,0,,,3.6686697,0,0,0.0177495,0.0191829,14,5,0,3.6686697,0,0,0.0177495,0,0,0,81.1, 0.6, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.326,4.331,4.329,4.332,4.335,4.331,0,,3.6686697,0,41,Motors_Started,
800,2024-11-03 23:57:01,-23.4438133431933,151.91728541857,0,,,3.6686697,0,0,0.017655,0.0194708,14,5,0,3.6686697,0,0,0.0177495,0,0,0,81.2, 0.6, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.326,4.331,4.329,4.332,4.335,4.331,0,,3.6686697,0,41,Motors_Started,
900,2024-11-03 23:57:01,-23.4438133465538,151.917285418132,0,,,3.6686697,0,0,0.017967,0.0198472,14,5,0,3.6686697,0,0,0.017967,0,0,0,81.2, 0.6, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.326,4.331,4.329,4.332,4.335,4.331,0,,3.6686697,0,41,Motors_Started,
1000,2024-11-03 23:57:01,-23.4438133409859,151.917285423938,0,,,3.6686697,0,0,0.0171116,0.0207041,14,5,0,3.6686697,0,0,0.017967,0,0,0,81.2, 0.6, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.326,4.331,4.329,4.332,4.335,4.331,0,,3.6686697,0,41,Motors_Started,
1100,2024-11-03 23:57:01,-23.4438133404982,151.917285424622,0,,,3.6686697,0,0,0.0170251,0.0207925,14,5,0,3.6686697,0,0,0.017967,0,0,0,81.2, 0.6, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.326,4.331,4.329,4.332,4.335,4.331,0,,3.6686697,0,41,Motors_Started,
1200,2024-11-03 23:57:01,-23.4438133663603,151.917285430473,0,,,3.6686697,0,0,0.018976,0.0237298,14,5,0,3.6686697,0,0,0.018976,0,0,0,81.2, 0.6, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.326,4.331,4.329,4.332,4.335,4.331,0,,3.6686697,0,41,Motors_Started,
1300,2024-11-03 23:57:01,-23.443813393959,151.917285432293,0,,,3.6686697,0,0,0.0215197,0.0268046,14,5,25.984,3.6686697,0,0,0.0215197,0,0,0,81.2, 0.6, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.326,4.331,4.329,4.332,4.335,4.331,0,,3.6686697,0,41,Motors_Started,
1400,2024-11-03 23:57:01,-23.4438134190765,151.917285404026,0,,,3.6686697,0,0,0.0253762,0.0308194,14,5,25.984,3.6686697,0,0,0.0253762,0,0,0,81.2, 0.6, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.326,4.331,4.329,4.332,4.335,4.331,0,,3.6686697,0,41,Motors_Started,
1500,2024-11-03 23:57:01,-23.4438134354296,151.917285375684,0,,,3.6686697,0,0,0.0284682,0.0342354,14,5,25.984,3.6686697,0,0,0.0284682,0,0,0,81.2, 0.6, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.326,4.331,4.329,4.332,4.335,4.331,0,,3.6686697,0,41,Motors_Started,
1600,2024-11-03 23:57:02,-23.4438134449513,151.917285346546,0,,,3.6686697,0,0,0.0310702,0.0373912,14,5,25.984,3.6686697,0,0,0.0310702,0,0,0,81.2, 0.6, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.326,4.331,4.329,4.332,4.335,4.331,0,,3.6686697,0,41,Motors_Started,
1700,2024-11-03 23:57:02,-23.4438134532093,151.917285328628,0,,,3.6686697,0,0,0.0329255,0.039437,14,5,25.984,3.6686697,0,0,0.0329255,0,0,0,81.2, 0.6, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.326,4.331,4.329,4.332,4.335,4.331,0,,3.6686697,0,41,Motors_Started,
1800,2024-11-03 23:57:02,-23.4438134520733,151.917285316819,0,,,3.6686697,0,0,0.0336038,0.0406484,14,5,25.984,3.6686697,0,0,0.0336038,0,0,0,81.2, 0.6, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.326,4.331,4.329,4.332,4.335,4.331,0,,3.6686697,0,41,Motors_Started,
1900,2024-11-03 23:57:02,-23.4438134546574,151.917285307251,0,,,3.6686697,0,0,0.0344644,0.041666,14,5,25.984,3.6686697,0,0,0.0344644,0,0,0,81.2, 0.6, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.326,4.331,4.329,4.332,4.335,4.331,0,,3.6686697,0,41,Motors_Started,
2000,2024-11-03 23:57:02,-23.4438134477377,151.917285306279,0,,,3.6686697,0,0,0.0339621,0.0424419,14,5,25.984,3.6686697,0,0,0.0344644,0,0,0,81.2, 0.6, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.326,4.331,4.329,4.332,4.335,4.331,0,,3.6686697,0,11,AutoTakeoff,
2100,2024-11-03 23:57:02,-23.4438134473907,151.917285302144,0,,,3.6686697,0,0,0.0342221,0.0428655,14,5,25.984,3.6686697,0,0,0.0344644,0,0,0,81.2, 0.7, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.326,4.331,4.329,4.332,4.335,4.331,0,,3.6686697,0,11,AutoTakeoff,
2200,2024-11-03 23:57:02,-23.4438134389686,151.91728530671,0,,,3.6686697,0,0,0.0332226,0.0439116,14,5,25.984,3.6686697,0,0,0.0344644,0,0,0,81.2, 0.7, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.326,4.331,4.329,4.332,4.335,4.331,0,,3.6686697,0,11,AutoTakeoff,
2300,2024-11-03 23:57:02,-23.4438134374814,151.917285308385,0,,,3.6686697,0,0,0.032985,0.0441494,14,5,25.977,3.6686697,0,0,0.0344644,0,0,0,81.2, 0.7, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.325,4.33,4.328,4.33,4.334,4.33,0,,3.6686697,0,11,AutoTakeoff,
2400,2024-11-03 23:57:02,-23.4438134633912,151.917285317163,0,,,3.6686697,0,0,0.0345427,0.0471667,14,5,25.977,3.6686697,0,0,0.0345427,0,0,0,81.4, 0.7, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.325,4.33,4.328,4.33,4.334,4.33,0,,3.6686697,0,11,AutoTakeoff,
2500,2024-11-03 23:57:02,-23.4438134912677,151.917285311923,0,,,3.6686697,0,0,0.0373079,0.0503126,14,5,25.977,3.6686697,0,0,0.0373079,0,0,0,81.5, 0.9, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.325,4.33,4.328,4.33,4.334,4.33,0,,3.6686697,0,11,AutoTakeoff,
2600,2024-11-03 23:57:03,-23.4438134834682,151.917285307834,0,,,3.6686697,0,0,0.0368775,0.051275,14,5,25.977,3.6686697,0,0,0.0373079,0,0,0,81.5, 1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.325,4.33,4.328,4.33,4.334,4.33,0,,3.6686697,0,11,AutoTakeoff,
2700,2024-11-03 23:57:03,-23.4438134705109,151.917285297176,0,,,3.6686697,0,0,0.0364661,0.0530802,14,5,25.977,3.6686697,0,0,0.0373079,0,0,0,81.5, 1.2, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.325,4.33,4.328,4.33,4.334,4.33,0,,3.6686697,0,11,AutoTakeoff,
2800,2024-11-03 23:57:03,-23.4438134738779,151.91728529894,0,,,3.6686697,0,0,0.0366316,0.0534956,14,5,25.977,3.6686697,0,0,0.0373079,0,0,0,81.6, 1.2, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.325,4.33,4.328,4.33,4.334,4.33,0,,3.6686697,0,11,AutoTakeoff,
2900,2024-11-03 23:57:03,-23.4438134956785,151.917285305574,0,,,3.6686697,0,0,0.0380904,0.0560127,14,5,25.977,3.6686697,0,0,0.0380904,0,0,0,81.7, 1.2, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.325,4.33,4.328,4.33,4.334,4.33,0,,3.6686697,0,11,AutoTakeoff,
3000,2024-11-03 23:57:03,-23.4438135169022,151.917285339781,0,,,3.6686697,0,0,0.0380771,0.0602258,14,5,25.977,3.6686697,0,0,0.0380904,0,0,0,81.7, 1.3, 1.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.325,4.33,4.328,4.33,4.334,4.33,0,,3.6686697,0,11,AutoTakeoff,
3100,2024-11-03 23:57:03,-23.44381352992,151.917285349465,0,,,3.6686697,0,0,0.0388396,0.0619786,14,5,25.977,3.6686697,0,0,0.0388396,0,0,0,81.8, 1.6, 1.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.325,4.33,4.328,4.33,4.334,4.33,0,,3.6686697,0,11,AutoTakeoff,
3200,2024-11-03 23:57:03,-23.4438135457957,151.917285284711,0,,,3.6686697,0,0,0.043843,0.068817,14,5,25.977,3.6686697,0,0,0.043843,0,0,0,81.9, 2.2, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.325,4.33,4.328,4.33,4.334,4.33,0,,3.6686697,0,11,AutoTakeoff,
