time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(meters),height_above_ground_at_drone_location(meters),ground_elevation_at_drone_location(meters),altitude_above_seaLevel(meters),height_sonar(meters),speed(m/s),distance(meters),mileage(meters),satellites,gpslevel,voltage(v),max_altitude(meters),max_ascent(meters),max_speed(m/s),max_distance(meters), xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(c),altitude(meters),ascent(meters),flycStateRaw,flycState,message
0,2024-11-03 23:24:17,-23.4438448391072,151.917264567306,0,Available with any HD 360 subscription,Available with any HD 360 subscription,3.453475,0,0,0,0,12,4,0,3.453475,0,0,0,0,0,0,83.5, 3.9, 1.7,0,0,959,1024,1024,1170,-10,0,0,22,0,0,0,97,4.312,4.315,4.319,4.337,4.34,4.334,0,,3.453475,0,41,Motors_Started,
100,2024-11-03 23:24:17,-23.4438448385926,151.917264571526,0,,,3.453475,0,0,0.000434289,0.000434289,12,4,0,3.453475,0,0,0.000434289,0,0,0,83.8, 3.9, 1.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.312,4.315,4.319,4.337,4.34,4.334,0,,3.453475,0,41,Motors_Started,
200,2024-11-03 23:24:17,-23.4438448379607,151.917264591929,0,,,3.453475,0,0,0.00251538,0.00251712,12,4,0,3.453475,0,0,0.00251538,0,0,0,84, 3.9, 1.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.312,4.315,4.319,4.337,4.34,4.334,0,,3.453475,0,41,Motors_Started,"Setting new Return-To-Home altitude to 40m (131 ft). Data Recorder File Index is 357. Setting new Maximum Flight Altitude to 120m (394 ft)"
300,2024-11-03 23:24:18,-23.4438448368143,151.917264619756,0,,,3.453475,0,0,0.00535733,0.00535909,12,4,0,3.453475,0,0,0.00535733,0,0,0,84.2, 3.9, 1.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.312,4.315,4.319,4.337,4.34,4.334,0,,3.453475,0,41,Motors_Started,
400,2024-11-03 23:24:18,-23.4438448336217,151.917264638553,0,,,3.453475,0,0,0.00729459,0.00730946,12,4,0,3.453475,0,0,0.00729459,0,0,0,84.3, 3.9, 1.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.312,4.315,4.319,4.337,4.34,4.334,0,,3.453475,0,41,Motors_Started,
500,2024-11-03 23:24:18,-23.4438448302431,151.91726465192,0,,,3.453475,0,0,0.00868893,0.00872406,12,4,0,3.453475,0,0,0.00868893,0,0,0,84.5, 3.9, 1.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.312,4.315,4.319,4.337,4.34,4.334,0,,3.453475,0,41,Motors_Started,
600,2024-11-03 23:24:18,-23.443844824991,151.91726468347,0,,,3.453475,0,0,0.0119552,0.0119955,12,4,0,3.453475,0,0,0.0119552,0,0,0,84.6, 3.9, 1.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.312,4.315,4.319,4.337,4.34,4.334,0,,3.453475,0,41,Motors_Started,
700,2024-11-03 23:24:18,-23.4438448206565,151.917264716739,0,,,3.453475,0,0,0.0153835,0.0154239,12,4,0,3.453475,0,0,0.0153835,0,0,0,84.7, 3.9, 1.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.312,4.315,4.319,4.337,4.34,4.334,0,,3.453475,0,41,Motors_Started,
800,2024-11-03 23:24:18,-23.4438448155436,151.917264710481,0,,,3.453475,0,0,0.0148407,0.0162789,12,4,0,3.453475,0,0,0.0153835,0,0,0,84.8, 3.9, 1.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.312,4.315,4.319,4.337,4.34,4.334,0,,3.453475,0,41,Motors_Started,
900,2024-11-03 23:24:18,-23.4438448116927,151.917264698464,0,,,3.453475,0,0,0.0137244,0.0175776,12,4,0,3.453475,0,0,0.0153835,0,0,0,84.9, 3.9, 1.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.312,4.315,4.319,4.337,4.34,4.334,0,,3.453475,0,41,Motors_Started,
