time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(meters),height_above_ground_at_drone_location(meters),ground_elevation_at_drone_location(meters),altitude_above_seaLevel(meters),height_sonar(meters),speed(m/s),distance(meters),mileage(meters),satellites,gpslevel,voltage(v),max_altitude(meters),max_ascent(meters),max_speed(m/s),max_distance(meters), xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(c),altitude(meters),ascent(meters),flycStateRaw,flycState,message
0,2024-11-03 23:38:15,-23.4438318203733,151.917294482134,0,Available with any HD 360 subscription,Available with any HD 360 subscription,3.4801013,0,0,0,0,13,4,0,3.4801013,0,0,0,0,0,0,79, 0.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.33,4.338,4.339,4.349,4.35,4.347,0,,3.4801013,0,41,Motors_Started,
100,2024-11-03 23:38:15,-23.4438318200095,151.917294481191,0,,,3.4801013,0,0,0.00010438,0.00010438,13,4,0,3.4801013,0,0,0.00010438,0,0,0,79.2, 0.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.33,4.338,4.339,4.349,4.35,4.347,0,,3.4801013,0,41,Motors_Started,
200,2024-11-03 23:38:15,-23.4438318198351,151.917294480857,0,,,3.4801013,0,0,0.000143399,0.000143602,13,4,0,3.4801013,0,0,0.000143399,0,0,0,79.4, 0.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.33,4.338,4.339,4.349,4.35,4.347,0,,3.4801013,0,41,Motors_Started,"Setting new Return-To-Home altitude to 40m (131 ft). Data Recorder File Index is 358. Setting new Maximum Flight Altitude to 120m (394 ft)"
300,2024-11-03 23:38:15,-23.4438318197555,151.917294480554,0,,,3.4801013,0,0,0.000175216,0.00017572,13,4,0,3.4801013,0,0,0.000175216,0,0,0,79.5, 0.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.33,4.338,4.339,4.349,4.35,4.347,0,,3.4801013,0,41,Motors_Started,
400,2024-11-03 23:38:15,-23.4438318186879,151.91729448093,0,,,3.4801013,0,0,0.000224131,0.000300469,13,4,0,3.4801013,0,0,0.000224131,0,0,0,79.6, 0.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.33,4.338,4.339,4.349,4.35,4.347,0,,3.4801013,0,41,Motors_Started,
500,2024-11-03 23:38:15,-23.443831817221,151.917294480203,0,,,3.4801013,0,0,0.000402142,0.000479655,13,4,0,3.4801013,0,0,0.000402142,0,0,0,79.8, 0.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.33,4.338,4.339,4.349,4.35,4.347,0,,3.4801013,0,41,Motors_Started,
600,2024-11-03 23:38:15,-23.4438318138105,151.917294479728,0,,,3.4801013,0,0,0.000769992,0.000862005,13,4,0,3.4801013,0,0,0.000769992,0,0,0,79.8, 0.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.33,4.338,4.339,4.349,4.35,4.347,0,,3.4801013,0,41,Motors_Started,
700,2024-11-03 23:38:15,-23.4438318107816,151.917294479386,0,,,3.4801013,0,0,0.0011029,0.00120065,13,4,0,3.4801013,0,0,0.0011029,0,0,0,79.9, 0.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.33,4.338,4.339,4.349,4.35,4.347,0,,3.4801013,0,41,Motors_Started,
800,2024-11-03 23:38:15,-23.4438318062274,151.917294479576,0,,,3.4801013,0,0,0.00159462,0.00170747,13,4,0,3.4801013,0,0,0.00159462,0,0,0,79.9, 0.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.33,4.338,4.339,4.349,4.35,4.347,0,,3.4801013,0,41,Motors_Started,
900,2024-11-03 23:38:16,-23.4438318028867,151.9172944793,0,,,3.4801013,0,0,0.00196601,0.00208005,13,4,0,3.4801013,0,0,0.00196601,0,0,0,80, 0.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.33,4.338,4.339,4.349,4.35,4.347,0,,3.4801013,0,41,Motors_Started,
