time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(meters),height_above_ground_at_drone_location(meters),ground_elevation_at_drone_location(meters),altitude_above_seaLevel(meters),height_sonar(meters),speed(m/s),distance(meters),mileage(meters),satellites,gpslevel,voltage(v),max_altitude(meters),max_ascent(meters),max_speed(m/s),max_distance(meters), xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(c),altitude(meters),ascent(meters),flycStateRaw,flycState,message
0,2024-11-04 06:13:37,-23.4439225714741,151.917303276232,0,Available with any HD 360 subscription,Available with any HD 360 subscription,2.6853211,0,0,0,0,16,5,0,2.6853211,0,0,0,0,0,0,80.8, -1.5, 1.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.328,4.33,4.329,4.333,4.336,4.331,0,,2.6853211,0,41,Motors_Started,
100,2024-11-04 06:13:37,-23.4439225692301,151.917303276965,0,,,2.6853211,0,0,0.000260504,0.000260504,16,5,0,2.6853211,0,0,0.000260504,0,0,0,81, -1.5, 1.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.328,4.33,4.329,4.333,4.336,4.331,0,,2.6853211,0,41,Motors_Started,
200,2024-11-04 06:13:37,-23.4439225753416,151.917303255902,0,,,2.6853211,0,0,0.00211836,0.00251442,16,5,0,2.6853211,0,0,0.00211836,0,0,0,81.1, -1.5, 1.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.328,4.33,4.329,4.333,4.336,4.331,0,,2.6853211,0,41,Motors_Started,
300,2024-11-04 06:13:37,-23.443922576177,151.917303230842,0,,,2.6853211,0,0,0.00466043,0.00507286,16,5,0,2.6853211,0,0,0.00466043,0,0,0,81.3, -1.6, 1.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.328,4.33,4.329,4.333,4.336,4.331,0,,2.6853211,0,41,Motors_Started,
400,2024-11-04 06:13:37,-23.4439225545961,151.917303202821,0,,,2.6853211,0,0,0.00772147,0.00880554,16,5,0,2.6853211,0,0,0.00772147,0,0,0,81.3, -1.6, 1.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.328,4.33,4.329,4.333,4.336,4.331,0,,2.6853211,0,41,Motors_Started,
500,2024-11-04 06:13:37,-23.4439225254192,151.917303187124,0,,,2.6853211,0,0,0.0104347,0.0124239,16,5,0,2.6853211,0,0,0.0104347,0,0,0,81.5, -1.5, 1.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.328,4.33,4.329,4.333,4.336,4.331,0,,2.6853211,0,41,Motors_Started,
600,2024-11-04 06:13:37,-23.4439225227893,151.917303174683,0,,,2.6853211,0,0,0.0116899,0.0137264,16,5,0,2.6853211,0,0,0.0116899,0,0,0,81.5, -1.5, 1.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.328,4.33,4.329,4.333,4.336,4.331,0,,2.6853211,0,41,Motors_Started,
700,2024-11-04 06:13:38,-23.4439225338546,151.917303169521,0,,,2.6853211,0,0,0.0116634,0.0150649,16,5,0,2.6853211,0,0,0.0116899,0,0,0,81.6, -1.6, 1.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.328,4.33,4.329,4.333,4.336,4.331,0,,2.6853211,0,41,Motors_Started,
800,2024-11-04 06:13:38,-23.4439225276974,151.917303169198,0,,,2.6853211,0,0,0.0119562,0.0157504,16,5,0,2.6853211,0,0,0.0119562,0,0,0,81.7, -1.6, 1.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.328,4.33,4.329,4.333,4.336,4.331,0,,2.6853211,0,41,Motors_Started,
900,2024-11-04 06:13:38,-23.4439225067784,151.917303167209,0,,,2.6853211,0,0,0.0132472,0.0180855,16,5,0,2.6853211,0,0,0.0132472,0,0,0,81.7, -1.5, 1.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.328,4.33,4.329,4.333,4.336,4.331,0,,2.6853211,0,41,Motors_Started,
