time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(meters),height_above_ground_at_drone_location(meters),ground_elevation_at_drone_location(meters),altitude_above_seaLevel(meters),height_sonar(meters),speed(m/s),distance(meters),mileage(meters),satellites,gpslevel,voltage(v),max_altitude(meters),max_ascent(meters),max_speed(m/s),max_distance(meters), xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(c),altitude(meters),ascent(meters),flycStateRaw,flycState,message
0,2024-11-04 06:29:53,-23.4439177758442,151.91730310747,0,Available with any HD 360 subscription,Available with any HD 360 subscription,2.6853211,0,0,0,0,15,5,0,2.6853211,0,0,0,0,0,0,81.2, -1.8, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.361,4.229,4.222,4.379,4.381,4.346,0,,2.6853211,0,41,Motors_Started,
100,2024-11-04 06:29:54,-23.4439178108863,151.917303099684,0,,,2.6853211,0,0,0.00397704,0.00397704,15,5,0,2.6853211,0,0,0.00397704,0,0,0,81.3, -1.8, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.361,4.229,4.222,4.379,4.381,4.346,0,,2.6853211,0,41,Motors_Started,
200,2024-11-04 06:29:54,-23.4439178408755,151.917303100653,0,,,2.6853211,0,0,0.00726524,0.00731349,15,5,0,2.6853211,0,0,0.00726524,0,0,0,81.3, -1.8, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.361,4.229,4.222,4.379,4.381,4.346,0,,2.6853211,0,41,Motors_Started,
300,2024-11-04 06:29:54,-23.4439178763787,151.917303123756,0,,,2.6853211,0,0,0.0113028,0.0119117,15,5,0,2.6853211,0,0,0.0113028,0,0,0,81.4, -1.8, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.361,4.229,4.222,4.379,4.381,4.346,0,,2.6853211,0,41,Motors_Started,
400,2024-11-04 06:29:54,-23.4439178954111,151.917303150765,0,,,2.6853211,0,0,0.0140111,0.0153864,15,5,0,2.6853211,0,0,0.0140111,0,0,0,81.4, -1.8, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.361,4.229,4.222,4.379,4.381,4.346,0,,2.6853211,0,41,Motors_Started,"Setting new Return-To-Home altitude to 40m (131 ft). Data Recorder File Index is 368. Setting new Maximum Flight Altitude to 120m (394 ft)"
500,2024-11-04 06:29:54,-23.4439179095533,151.917303168967,0,,,2.6853211,0,0,0.0161388,0.0178199,15,5,0,2.6853211,0,0,0.0161388,0,0,0,81.4, -1.8, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.361,4.229,4.222,4.379,4.381,4.346,0,,2.6853211,0,41,Motors_Started,
600,2024-11-04 06:29:54,-23.4439179189684,151.917303185414,0,,,2.6853211,0,0,0.0177923,0.0197978,15,5,0,2.6853211,0,0,0.0177923,0,0,0,81.4, -1.8, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.361,4.229,4.222,4.379,4.381,4.346,0,,2.6853211,0,41,Motors_Started,
700,2024-11-04 06:29:54,-23.4439179206424,151.917303189646,0,,,2.6853211,0,0,0.0181544,0.020268,15,5,0,2.6853211,0,0,0.0181544,0,0,0,81.4, -1.8, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.361,4.229,4.222,4.379,4.381,4.346,0,,2.6853211,0,41,Motors_Started,
800,2024-11-04 06:29:54,-23.4439179236996,151.917303196537,0,,,2.6853211,0,0,0.0187864,0.0210489,15,5,0,2.6853211,0,0,0.0187864,0,0,0,81.5, -1.8, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.361,4.229,4.222,4.379,4.381,4.346,0,,2.6853211,0,41,Motors_Started,
900,2024-11-04 06:29:54,-23.4439179198095,151.917303225672,0,,,2.6853211,0,0,0.0200437,0.0240527,15,5,0,2.6853211,0,0,0.0200437,0,0,0,81.5, -1.8, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.361,4.229,4.222,4.379,4.381,4.346,0,,2.6853211,0,41,Motors_Started,
1000,2024-11-04 06:29:54,-23.4439179200745,151.917303257569,0,,,2.6853211,0,0,0.022176,0.0273072,15,5,0,2.6853211,0,0,0.022176,0,0,0,81.5, -1.8, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.361,4.229,4.222,4.379,4.381,4.346,0,,2.6853211,0,41,Motors_Started,
1100,2024-11-04 06:29:55,-23.4439179137708,151.917303279513,0,,,2.6853211,0,0,0.0233102,0.0296532,15,5,0,2.6853211,0,0,0.0233102,0,0,0,81.6, -1.8, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.361,4.229,4.222,4.379,4.381,4.346,0,,2.6853211,0,41,Motors_Started,
1200,2024-11-04 06:29:55,-23.4439179128886,151.917303296097,0,,,2.6853211,0,0,0.0245484,0.0313481,15,5,0,2.6853211,0,0,0.0245484,0,0,0,81.6, -1.8, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.361,4.229,4.222,4.379,4.381,4.346,0,,2.6853211,0,41,Motors_Started,
1300,2024-11-04 06:29:55,-23.4439179066893,151.917303296782,0,,,2.6853211,0,0,0.0241823,0.032041,15,5,0,2.6853211,0,0,0.0245484,0,0,0,81.6, -1.8, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.361,4.229,4.222,4.379,4.381,4.346,0,,2.6853211,0,41,Motors_Started,
1400,2024-11-04 06:29:55,-23.4439179042643,151.917303302527,0,,,2.6853211,0,0,0.0244948,0.0326862,15,5,0,2.6853211,0,0,0.0245484,0,0,0,81.6, -1.8, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.361,4.229,4.222,4.379,4.381,4.346,0,,2.6853211,0,41,Motors_Started,
1500,2024-11-04 06:29:55,-23.4439178983928,151.917303294865,0,,,2.6853211,0,0,0.0234791,0.0337048,15,5,0,2.6853211,0,0,0.0245484,0,0,0,81.6, -1.8, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.361,4.229,4.222,4.379,4.381,4.346,0,,2.6853211,0,41,Motors_Started,
