time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(meters),height_above_ground_at_drone_location(meters),ground_elevation_at_drone_location(meters),altitude_above_seaLevel(meters),height_sonar(meters),speed(m/s),distance(meters),mileage(meters),satellites,gpslevel,voltage(v),max_altitude(meters),max_ascent(meters),max_speed(m/s),max_distance(meters), xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(c),altitude(meters),ascent(meters),flycStateRaw,flycState,message
0,2024-11-04 05:58:14,-23.4439317140985,151.917303826031,0,Available with any HD 360 subscription,Available with any HD 360 subscription,2.5528648,0,0,0,0,14,5,0,2.5528648,0,0,0,0,0,0,83.2, -2.6, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.344,4.347,4.345,4.357,4.36,4.355,0,,2.5528648,0,41,Motors_Started,
100,2024-11-04 05:58:14,-23.4439316774582,151.917303884618,0,,,2.5528648,0,0,0.0072341,0.0072341,14,5,0,2.5528648,0,0,0.0072341,0,0,0,83.6, -2.7, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.344,4.347,4.345,4.357,4.36,4.355,0,,2.5528648,0,41,Motors_Started,
200,2024-11-04 05:58:14,-23.4439316502711,151.917303934889,0,,,2.5528648,0,0,0.0131808,0.0131878,14,5,0,2.5528648,0,0,0.0131808,0,0,0,83.9, -2.7, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.344,4.347,4.345,4.357,4.36,4.355,0,,2.5528648,0,41,Motors_Started,"Setting new Return-To-Home altitude to 40m (131 ft). Data Recorder File Index is 365. Setting new Maximum Flight Altitude to 120m (394 ft)"
300,2024-11-04 05:58:15,-23.4439316314058,151.917303952293,0,,,2.5528648,0,0,0.0158276,0.0159363,14,5,0,2.5528648,0,0,0.0158276,0,0,0,84.3, -2.7, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.344,4.347,4.345,4.357,4.36,4.355,0,,2.5528648,0,41,Motors_Started,
400,2024-11-04 05:58:15,-23.4439316155335,151.917303979195,0,,,2.5528648,0,0,0.0190876,0.0191996,14,5,0,2.5528648,0,0,0.0190876,0,0,0,84.6, -2.7, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.344,4.347,4.345,4.357,4.36,4.355,0,,2.5528648,0,41,Motors_Started,
500,2024-11-04 05:58:15,-23.4439316057509,151.917304015705,0,,,2.5528648,0,0,0.0227961,0.0230801,14,5,0,2.5528648,0,0,0.0227961,0,0,0,84.8, -2.7, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.344,4.347,4.345,4.357,4.36,4.355,0,,2.5528648,0,41,Motors_Started,
600,2024-11-04 05:58:15,-23.4439315951442,151.917304053577,0,,,2.5528648,0,0,0.0267199,0.0271201,14,5,0,2.5528648,0,0,0.0267199,0,0,0,85.1, -2.7, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.344,4.347,4.345,4.357,4.36,4.355,0,,2.5528648,0,41,Motors_Started,
700,2024-11-04 05:58:15,-23.4439315895198,151.917304105504,0,,,2.5528648,0,0,0.031701,0.0324548,14,5,0,2.5528648,0,0,0.031701,0,0,0,85.2, -2.7, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.344,4.347,4.345,4.357,4.36,4.355,0,,2.5528648,0,41,Motors_Started,
800,2024-11-04 05:58:15,-23.4439315813241,151.917304154815,0,,,2.5528648,0,0,0.0366504,0.0375677,14,5,0,2.5528648,0,0,0.0366504,0,0,0,85.4, -2.7, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.344,4.347,4.345,4.357,4.36,4.355,0,,2.5528648,0,41,Motors_Started,
900,2024-11-04 05:58:15,-23.4439315788055,151.917304164406,0,,,2.5528648,0,0,0.0376591,0.0385856,15,5,0,2.5528648,0,0,0.0376591,0,0,0,85.5, -2.7, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.344,4.347,4.345,4.357,4.36,4.355,0,,2.5528648,0,41,Motors_Started,
