time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(meters),height_above_ground_at_drone_location(meters),ground_elevation_at_drone_location(meters),altitude_above_seaLevel(meters),height_sonar(meters),speed(m/s),distance(meters),mileage(meters),satellites,gpslevel,voltage(v),max_altitude(meters),max_ascent(meters),max_speed(m/s),max_distance(meters), xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(c),altitude(meters),ascent(meters),flycStateRaw,flycState,message
0,2024-11-04 06:49:52,-23.4439311372889,151.917292115432,0,Available with any HD 360 subscription,Available with any HD 360 subscription,2.6191504,0,0,0,0,16,5,0,2.6191504,0,0,0,0,0,0,86.3, -1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,41,Motors_Started,
100,2024-11-04 06:49:52,-23.4439311428362,151.917292109382,0,,,2.6191504,0,0,0.000872658,0.000872658,16,5,0,2.6191504,0,0,0.000872658,0,0,0,86.4, -1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,41,Motors_Started,
200,2024-11-04 06:49:52,-23.4439311500436,151.917292108926,0,,,2.6191504,0,0,0.00156604,0.00167551,16,5,0,2.6191504,0,0,0.00156604,0,0,0,86.6, -1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,41,Motors_Started,
300,2024-11-04 06:49:52,-23.4439311454998,151.917292108144,0,,,2.6191504,0,0,0.00117756,0.00218708,16,5,0,2.6191504,0,0,0.00156604,0,0,0,86.7, -1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,41,Motors_Started,
400,2024-11-04 06:49:52,-23.4439311475574,151.917292109516,0,,,2.6191504,0,0,0.0012916,0.00245536,16,5,0,2.6191504,0,0,0.00156604,0,0,0,86.8, -1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,41,Motors_Started,
500,2024-11-04 06:49:52,-23.4439311746348,151.917292110919,0,,,2.6191504,0,0,0.00417852,0.00546993,16,5,0,2.6191504,0,0,0.00417852,0,0,0,86.9, -1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,41,Motors_Started,
600,2024-11-04 06:49:52,-23.4439312009989,151.917292115807,0,,,2.6191504,0,0,0.00708503,0.00844387,16,5,0,2.6191504,0,0,0.00708503,0,0,0,87, -1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,41,Motors_Started,"Setting new Return-To-Home altitude to 40m (131 ft). Data Recorder File Index is 369. Setting new Maximum Flight Altitude to 120m (394 ft)"
700,2024-11-04 06:49:52,-23.4439312181487,151.917292119028,0,,,2.6191504,0,0,0.00899958,0.0103792,16,5,0,2.6191504,0,0,0.00899958,0,0,0,87, -1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,41,Motors_Started,
800,2024-11-04 06:49:52,-23.4439312316987,151.917292119787,0,,,2.6191504,0,0,0.0105083,0.011888,16,5,0,2.6191504,0,0,0.0105083,0,0,0,87.1, -1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,41,Motors_Started,
900,2024-11-04 06:49:53,-23.4439312321041,151.91729211878,0,,,2.6191504,0,0,0.0105496,0.0120002,16,5,0,2.6191504,0,0,0.0105496,0,0,0,87.1, -1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,41,Motors_Started,
1000,2024-11-04 06:49:53,-23.4439312369446,151.917292123719,0,,,2.6191504,0,0,0.0111145,0.0127376,16,5,0,2.6191504,0,0,0.0111145,0,0,0,87.1, -1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,41,Motors_Started,
1100,2024-11-04 06:49:53,-23.443931229007,151.917292124923,0,,,2.6191504,0,0,0.0102455,0.0136288,16,5,0,2.6191504,0,0,0.0111145,0,0,0,87.2, -1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,41,Motors_Started,
1200,2024-11-04 06:49:53,-23.4439312284871,151.917292126041,0,,,2.6191504,0,0,0.0101994,0.0137567,16,5,0,2.6191504,0,0,0.0111145,0,0,0,87.2, -1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,41,Motors_Started,
1300,2024-11-04 06:49:53,-23.443931216771,151.917292124762,0,,,2.6191504,0,0,0.00888999,0.0150661,16,5,0,2.6191504,0,0,0.0111145,0,0,0,87.2, -1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,41,Motors_Started,
1400,2024-11-04 06:49:53,-23.4439312134132,151.917292129072,0,,,2.6191504,0,0,0.00857911,0.0156431,16,5,0,2.6191504,0,0,0.0111145,0,0,0,87.3, -1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,41,Motors_Started,
1500,2024-11-04 06:49:53,-23.4439312392986,151.917292130413,0,,,2.6191504,0,0,0.0114466,0.0185249,16,5,0,2.6191504,0,0,0.0114466,0,0,0,87.3, -1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,41,Motors_Started,
1600,2024-11-04 06:49:53,-23.4439312648356,151.917292132531,0,,,2.6191504,0,0,0.0142908,0.021373,16,5,0,2.6191504,0,0,0.0142908,0,0,0,87.3, -1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,41,Motors_Started,
1700,2024-11-04 06:49:53,-23.4439312850729,151.917292130912,0,,,2.6191504,0,0,0.0165102,0.0236296,16,5,26.078,2.6191504,0,0,0.0165102,0,0,0,87.3, -1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,41,Motors_Started,
1800,2024-11-04 06:49:53,-23.4439312991891,151.917292135193,0,,,2.6191504,0,0,0.0181168,0.025259,16,5,26.078,2.6191504,0,0,0.0181168,0,0,0,87.3, -1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,41,Motors_Started,
1900,2024-11-04 06:49:54,-23.4439313040435,151.91729209478,0,,,2.6191504,0,0,0.0186634,0.0294174,16,5,26.078,2.6191504,0,0,0.0186634,0,0,0,87.3, -1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,41,Motors_Started,
2000,2024-11-04 06:49:54,-23.4439313101907,151.917292066251,0,,,2.6191504,0,0,0.0198717,0.0324073,16,5,26.078,2.6191504,0,0,0.0198717,0,0,0,87.3, -1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,11,AutoTakeoff,
2100,2024-11-04 06:49:54,-23.4439313069427,151.917292031878,0,,,2.6191504,0,0,0.020703,0.0359328,16,5,26.078,2.6191504,0,0,0.020703,0,0,0,87.3, -1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,11,AutoTakeoff,
2200,2024-11-04 06:49:54,-23.4439313081127,151.917292016351,0,,,2.6191504,0,0,0.0215189,0.0375223,16,5,26.078,2.6191504,0,0,0.0215189,0,0,0,87.3, -1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,11,AutoTakeoff,
2300,2024-11-04 06:49:54,-23.4439313413193,151.917292000909,0,,,2.6191504,0,0,0.0255212,0.0415371,16,5,26.078,2.6191504,0,0,0.0255212,0,0,0,87.3, -1.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,11,AutoTakeoff,
2400,2024-11-04 06:49:54,-23.4439313740116,151.917291987019,0,,,2.6191504,0,0,0.029405,0.0454391,16,5,26.078,2.6191504,0,0,0.029405,0,0,0,87.4, -0.9, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,11,AutoTakeoff,
2500,2024-11-04 06:49:54,-23.4439313959368,151.917291957891,0,,,2.6191504,0,0,0.0329496,0.0492832,16,5,26.078,2.6191504,0,0,0.0329496,0,0,0,87.6, -0.5, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,4.336,4.341,4.341,4.354,4.356,4.35,0,,2.6191504,0,11,AutoTakeoff,
